title,n_passages,n_answerable_q,n_unanswerable_q,is_history,is_vietnam
Luxembourg,8,43,7,0,0
Qur'an,8,39,15,0,0
Thần học,8,45,16,0,0
Bắc Phi,8,42,16,0,0
Vị,8,43,10,0,0
Apple Inc.,8,53,0,0,0
Thừa Thiên - Huế,8,69,0,0,0
Công an nhân dân Việt Nam,7,35,0,0,0
Thiên Chúa,7,31,7,0,0
Dân chủ trực tiếp,7,37,16,0,0
Enrico Fermi,7,38,18,0,0
Hồng y,7,73,19,0,0
Công nghệ thông tin và truyền thông,7,21,11,0,0
Cholesterol,7,38,18,0,0
Terbi,7,75,20,0,0
Đồng hồ cát,7,26,17,0,0
Ngôn ngữ máy,7,30,12,0,0
Phạm Văn Đồng,7,27,14,1,1
Voyager 1,7,37,12,0,0
Dương cầm,7,36,11,0,0
Lưu vực,7,32,14,0,0
Dòng Tên,7,35,8,0,0
Pyrit,7,39,21,0,0
Trái Đất rỗng,7,35,0,0,0
Nội chiến Anh,7,75,13,1,0
Thế vận hội Mùa hè 2012,7,75,21,0,0
Hải ly,7,39,20,0,0
Erwin Schrödinger,7,36,9,0,0
Lệch lạc (xã hội học),7,35,19,0,0
Họ Đậu,7,37,26,0,0
Dãy núi Rocky,7,37,10,0,0
Tầng đối lưu,7,75,26,0,0
Bình Định,7,32,18,0,0
Crom,7,27,11,0,0
Nhu cầu,7,30,10,0,0
Điện Biên,7,30,9,1,1
Quá trình làm phim,7,28,6,0,0
Đạn,7,39,11,0,0
Zirconi,7,75,15,0,0
Thiên hà Tiên Nữ,7,57,0,0,0
Sao đôi,7,50,0,0,0
Kiến,7,38,19,0,0
Gia cầm,7,40,19,0,0
Den Haag,7,36,14,0,0
Samsung Electronics,7,40,17,0,0
Xeri,7,34,9,0,0
Kinh tế Hàn Quốc,7,75,22,0,0
Uganda,7,39,20,0,0
Chuột nhắt nhà,7,35,0,0,0
Montréal,7,29,13,0,0
Tổ chức xã hội,6,32,17,0,0
Niue,6,27,7,0,0
Amur (tỉnh),6,33,9,0,0
Vườn thực vật hoàng gia Kew,6,51,0,0,0
Ngành (sinh học),5,28,13,0,0
